3000.06	26.1	-7.89	0.24
3000.29	26.1	-7.51	0.28
3000.38	26.1	-7.43	0.23
3000.54	27.0	-7.66	0.36
3000.86	20.0	-7.36	0.35
3000.87	22.0	-7.48	0.36
3000.88	24.0	-7.56	0.36
3000.95	26.0	-7.70	0.37
3001.13	26.1	-7.44	0.22
3001.40	26.1	-7.44	0.23
3001.60	26.1	-7.44	0.22
3001.97	26.1	-7.45	0.22
3002.32	26.1	-7.79	0.20
3002.42	26.1	-7.93	0.21
3002.49	28.0	-7.76	0.38
3002.65	26.1	-7.78	0.21
3003.10	26.1	-7.93	0.21
3003.62	28.0	-7.75	0.38
3003.89	26.1	-7.43	0.22
3004.26	26.1	-7.89	0.24
3005.06	24.0	-7.56	0.36
3005.38	26.1	-7.93	0.20
3005.65	26.1	-7.54	0.28
3006.24	26.1	-7.93	0.20
3006.86	20.0	-7.35	0.35
3007.28	26.0	-7.66	0.36
3007.59	26.1	-7.93	0.20
3007.65	25.0	-7.59	0.38
3007.95	26.1	-7.44	0.22
3007.95	26.1	-7.44	0.23
3008.14	26.0	-7.69	0.37
3009.09	26.0	-7.64	0.38
3009.15	26.1	-7.89	0.27
3009.21	20.0	-7.36	0.35
3009.27	26.1	-7.44	0.23
3009.46	26.1	-7.68	0.37
3009.57	26.0	-7.51	0.35
3009.60	26.1	-7.68	0.22
3009.88	26.1	-7.68	0.22
3010.14	26.1	-7.44	0.22
3010.22	26.1	-7.42	0.23
3010.46	26.1	-7.89	0.27
3010.64	26.1	-7.89	0.22
3011.16	25.0	-7.59	0.38
3011.34	26.1	-7.93	0.20
3011.37	25.0	-7.59	0.38
3011.48	26.0	-7.79	0.37
3011.54	26.1	-7.44	0.22
3011.54	26.1	-7.52	0.27
3012.00	28.0	-7.71	0.38
3012.21	26.1	-7.93	0.20
3012.60	26.1	-7.89	0.24
3013.59	27.0	-7.68	0.36
3013.70	24.0	-7.57	0.36
3013.80	26.1	-7.89	0.22
3014.26	26.1	-7.45	0.23
3014.58	26.1	-7.87	0.21
3015.00	26.1	-7.44	0.23
3015.20	24.0	-7.57	0.36
3015.37	21.0	-7.54	0.38
3015.56	26.1	-7.43	0.23
3015.64	16.0	-7.43	0.37
3015.91	26.1	-7.87	0.21
3015.92	26.0	-7.63	0.38
3016.18	26.0	-7.49	0.35
3016.45	25.0	-7.59	0.38
3016.93	26.1	-7.68	0.37
3017.54	27.0	-7.66	0.36
3017.63	26.0	-7.70	0.37
3018.14	26.0	-7.64	0.38
3018.21	26.1	-7.89	0.23
3018.49	24.0	-7.71	0.25
3018.68	26.1	-7.87	0.21
3018.98	26.0	-7.50	0.35
3019.14	28.0	-7.78	0.37
3019.30	26.1	-7.79	0.20
3019.35	21.0	-7.54	0.38
3019.38	26.1	-7.44	0.22
3019.47	26.1	-7.93	0.19
3019.80	26.1	-7.78	0.22
3020.01	26.1	-7.89	0.24
3020.33	26.1	-7.44	0.22
3020.50	26.0	-7.70	0.37
3020.64	26.0	-7.71	0.37
3020.67	24.0	-7.57	0.36
3021.07	26.0	-7.70	0.37
3021.39	26.1	-7.89	0.23
3021.42	26.1	-7.89	0.21
3021.56	24.0	-7.56	0.36
3021.93	26.1	-7.44	0.22
3023.25	26.1	-7.93	0.19
3023.83	26.1	-7.89	0.23
3024.03	26.0	-7.66	0.36
3024.33	24.0	-7.57	0.36
3024.71	26.1	-7.68	0.37
3025.54	26.1	-7.68	0.22
3025.84	26.0	-7.70	0.37
3025.99	26.1	-7.89	0.23
3026.46	26.0	-7.49	0.35
3027.38	26.1	-7.78	0.20
3027.49	26.1	-7.89	0.28
3027.95	26.1	-7.44	0.22
3028.26	26.1	-7.44	0.23
3029.16	24.0	-7.57	0.36
3029.57	26.1	-7.77	0.19
3029.69	26.1	-7.89	0.23
3030.24	24.0	-7.57	0.36
3030.32	26.1	-7.43	0.22
3030.76	21.0	-7.54	0.38
3030.87	26.1	-7.43	0.22
3031.35	24.0	-7.57	0.36
3031.63	26.1	-7.93	0.22
3031.63	26.0	-7.49	0.35
3031.87	28.0	-7.78	0.37
3033.44	26.1	-7.42	0.24
3033.58	26.1	-7.43	0.22
3033.62	26.1	-7.68	0.22
3034.01	26.1	-7.68	0.22
3034.19	24.0	-7.57	0.36
3034.43	27.0	-7.71	0.37
3034.56	26.1	-7.68	0.23
3034.73	26.1	-7.89	0.23
3035.79	26.1	-7.44	0.23
3036.96	26.1	-7.44	0.23
3036.96	26.1	-7.42	0.23
3037.04	24.0	-7.57	0.36
3037.39	26.0	-7.70	0.37
3037.45	26.1	-7.52	0.27
3037.63	26.1	-7.89	0.26
3037.93	28.0	-7.76	0.38
3038.55	26.1	-7.43	0.22
3038.78	26.1	-7.89	0.24
3039.32	26.0	-7.64	0.38
3039.64	26.1	-7.44	0.22
3039.77	21.0	-7.55	0.38
3039.79	26.1	-7.68	0.23
3040.18	26.1	-7.68	0.23
3040.43	26.0	-7.52	0.35
